,TBL_ID,CODE1,SCR_MN1,SCR_ENG1,DTVAL_CO,PERIOD,Sector
22,DT_NSO_0500_022V1,1,ДНБ,GDP,20264989.5,2022-09-30,GDP
23,DT_NSO_0500_022V1,101,Хөдөө аж ахуй ойн аж ахуй загас барилт ан агнуур,"Agriculture, forestry and fishing, hunting",3374134.8,2022-09-30,Agriculture
24,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,2131781.7,2022-09-30,Mining
25,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,1354505.3,2022-09-30,Industry
26,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",521999.1,2022-09-30,Electricity
27,DT_NSO_0500_022V1,105,Барилга,Construction,391923.7,2022-09-30,Construction
28,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,2184702.0,2022-09-30,Trade
29,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,707866.6,2022-09-30,Transportation
30,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,600193.0,2022-09-30,Information
31,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,5924657.7,2022-09-30,Service
32,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,3073225.6,2022-09-30,Taxes
55,DT_NSO_0500_022V1,1,ДНБ,GDP,12791019.0,2022-06-30,GDP
56,DT_NSO_0500_022V1,101,Хөдөө аж ахуй ойн аж ахуй загас барилт ан агнуур,"Agriculture, forestry and fishing, hunting",2185829.8,2022-06-30,Agriculture
57,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,1149246.6,2022-06-30,Mining
58,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,813775.1,2022-06-30,Industry
59,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",392027.0,2022-06-30,Electricity
60,DT_NSO_0500_022V1,105,Барилга,Construction,194312.7,2022-06-30,Construction
61,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,1374744.4,2022-06-30,Trade
62,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,307807.5,2022-06-30,Transportation
63,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,406284.7,2022-06-30,Information
64,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,3899115.0,2022-06-30,Service
65,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,2067876.3,2022-06-30,Taxes
88,DT_NSO_0500_022V1,1,ДНБ,GDP,5208108.1,2022-03-31,GDP
89,DT_NSO_0500_022V1,101,Хөдөө аж ахуй ойн аж ахуй загас барилт ан агнуур,"Agriculture, forestry and fishing, hunting",242793.8,2022-03-31,Agriculture
90,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,555732.1,2022-03-31,Mining
91,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,358282.6,2022-03-31,Industry
92,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",235939.8,2022-03-31,Electricity
93,DT_NSO_0500_022V1,105,Барилга,Construction,49314.2,2022-03-31,Construction
94,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,571750.3,2022-03-31,Trade
95,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,144996.2,2022-03-31,Transportation
96,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,177508.1,2022-03-31,Information
97,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,1920911.4,2022-03-31,Service
98,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,950879.6,2022-03-31,Taxes
121,DT_NSO_0500_022V1,1,ДНБ,GDP,27091663.8,2021-12-31,GDP
122,DT_NSO_0500_022V1,101,Хөдөө аж ахуй ойн аж ахуй загас барилт ан агнуур,"Agriculture, forestry and fishing, hunting",3796343.9,2021-12-31,Agriculture
123,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,3697863.8,2021-12-31,Mining
124,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,2207879.1,2021-12-31,Industry
125,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",736584.0,2021-12-31,Electricity
126,DT_NSO_0500_022V1,105,Барилга,Construction,825498.7,2021-12-31,Construction
127,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,2958487.9,2021-12-31,Trade
128,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,1172464.4,2021-12-31,Transportation
129,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,734363.8,2021-12-31,Information
130,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,7760326.8,2021-12-31,Service
131,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,3201851.4,2021-12-31,Taxes
154,DT_NSO_0500_022V1,1,ДНБ,GDP,19534967.3,2021-09-30,GDP
155,DT_NSO_0500_022V1,101,Хөдөө аж ахуй ойн аж ахуй загас барилт ан агнуур,"Agriculture, forestry and fishing, hunting",3063212.7,2021-09-30,Agriculture
156,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,2576681.3,2021-09-30,Mining
157,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,1327107.1,2021-09-30,Industry
158,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",499947.2,2021-09-30,Electricity
159,DT_NSO_0500_022V1,105,Барилга,Construction,377927.8,2021-09-30,Construction
160,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,1962046.0,2021-09-30,Trade
161,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,725307.5,2021-09-30,Transportation
162,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,552034.6,2021-09-30,Information
163,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,5703950.2,2021-09-30,Service
164,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,2746752.9,2021-09-30,Taxes
187,DT_NSO_0500_022V1,1,ДНБ,GDP,12554375.0,2021-06-30,GDP
188,DT_NSO_0500_022V1,101,Хөдөө аж ахуй ойн аж ахуй загас барилт ан агнуур,"Agriculture, forestry and fishing, hunting",1963205.1,2021-06-30,Agriculture
189,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,1613874.5,2021-06-30,Mining
190,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,831750.8,2021-06-30,Industry
191,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",372691.3,2021-06-30,Electricity
192,DT_NSO_0500_022V1,105,Барилга,Construction,212860.1,2021-06-30,Construction
193,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,1224908.3,2021-06-30,Trade
194,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,397159.9,2021-06-30,Transportation
195,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,361152.5,2021-06-30,Information
196,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,3727513.1,2021-06-30,Service
197,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,1849259.3,2021-06-30,Taxes
231,DT_NSO_0500_022V1,1,ДНБ,GDP,5420561.8,2021-03-31,GDP
232,DT_NSO_0500_022V1,101,Хөдөө аж ахуй ойн аж ахуй загас барилт ан агнуур,"Agriculture, forestry and fishing, hunting",218093.9,2021-03-31,Agriculture
233,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,888600.5,2021-03-31,Mining
234,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,398027.0,2021-03-31,Industry
235,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",222465.2,2021-03-31,Electricity
236,DT_NSO_0500_022V1,105,Барилга,Construction,70325.8,2021-03-31,Construction
237,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,533071.0,2021-03-31,Trade
238,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,218835.3,2021-03-31,Transportation
239,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,154543.7,2021-03-31,Information
240,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,1850284.5,2021-03-31,Service
241,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,866314.8,2021-03-31,Taxes
275,DT_NSO_0500_022V1,1,ДНБ,GDP,26655376.727,2020-12-31,GDP
276,DT_NSO_0500_022V1,101,Хөдөө аж ахуй ойн аж ахуй загас барилт ан агнуур,"Agriculture, forestry and fishing, hunting",4018677.782,2020-12-31,Agriculture
277,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,3667045.94,2020-12-31,Mining
278,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,2227252.867,2020-12-31,Industry
279,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",673122.363,2020-12-31,Electricity
280,DT_NSO_0500_022V1,105,Барилга,Construction,1069967.326,2020-12-31,Construction
281,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,2797263.723,2020-12-31,Trade
282,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,1264613.357,2020-12-31,Transportation
283,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,608660.8,2020-12-31,Information
284,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,7475897.213,2020-12-31,Service
285,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,2852875.353,2020-12-31,Taxes
319,DT_NSO_0500_022V1,1,ДНБ,GDP,18835668.749,2020-09-30,GDP
320,DT_NSO_0500_022V1,101,Хөдөө аж ахуй ойн аж ахуй загас барилт ан агнуур,"Agriculture, forestry and fishing, hunting",3213550.242,2020-09-30,Agriculture
321,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,2324399.165,2020-09-30,Mining
322,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,1259948.778,2020-09-30,Industry
323,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",458272.716,2020-09-30,Electricity
324,DT_NSO_0500_022V1,105,Барилга,Construction,541127.002,2020-09-30,Construction
325,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,1866879.41,2020-09-30,Trade
326,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,720750.092,2020-09-30,Transportation
327,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,468619.557,2020-09-30,Information
328,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,5590576.097,2020-09-30,Service
329,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,2391545.688,2020-09-30,Taxes
363,DT_NSO_0500_022V1,1,ДНБ,GDP,11810996.846,2020-06-30,GDP
364,DT_NSO_0500_022V1,101,Хөдөө аж ахуй ойн аж ахуй загас барилт ан агнуур,"Agriculture, forestry and fishing, hunting",2057361.369,2020-06-30,Agriculture
365,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,1306470.452,2020-06-30,Mining
366,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,743927.057,2020-06-30,Industry
367,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",341192.442,2020-06-30,Electricity
368,DT_NSO_0500_022V1,105,Барилга,Construction,322752.394,2020-06-30,Construction
369,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,1164262.336,2020-06-30,Trade
370,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,360568.024,2020-06-30,Transportation
371,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,302035.339,2020-06-30,Information
372,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,3714953.074,2020-06-30,Service
373,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,1497474.358,2020-06-30,Taxes
407,DT_NSO_0500_022V1,1,ДНБ,GDP,4720726.709,2020-03-31,GDP
408,DT_NSO_0500_022V1,101,Хөдөө аж ахуй ойн аж ахуй загас барилт ан агнуур,"Agriculture, forestry and fishing, hunting",228373.132,2020-03-31,Agriculture
409,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,641400.822,2020-03-31,Mining
410,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,321443.557,2020-03-31,Industry
411,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",208238.674,2020-03-31,Electricity
412,DT_NSO_0500_022V1,105,Барилга,Construction,70577.106,2020-03-31,Construction
413,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,502436.718,2020-03-31,Trade
414,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,184321.752,2020-03-31,Transportation
415,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,135951.773,2020-03-31,Information
416,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,1836058.747,2020-03-31,Service
417,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,591924.428,2020-03-31,Taxes
451,DT_NSO_0500_022V1,1,ДНБ,GDP,27928278.387,2019-12-31,GDP
452,DT_NSO_0500_022V1,101,Хөдөө аж ахуй ойн аж ахуй загас барилт ан агнуур,"Agriculture, forestry and fishing, hunting",3797450.024,2019-12-31,Agriculture
453,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,4068656.632,2019-12-31,Mining
454,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,2153061.042,2019-12-31,Industry
455,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",661486.41,2019-12-31,Electricity
456,DT_NSO_0500_022V1,105,Барилга,Construction,1105277.916,2019-12-31,Construction
457,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,3195458.033,2019-12-31,Trade
458,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,1546746.276,2019-12-31,Transportation
459,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,578493.962,2019-12-31,Information
460,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,7673577.746,2019-12-31,Service
461,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,3148070.346,2019-12-31,Taxes
495,DT_NSO_0500_022V1,1,ДНБ,GDP,20188468.286,2019-09-30,GDP
496,DT_NSO_0500_022V1,101,Хөдөө аж ахуй ойн аж ахуй загас барилт ан агнуур,"Agriculture, forestry and fishing, hunting",2900437.269,2019-09-30,Agriculture
497,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,2982936.905,2019-09-30,Mining
498,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,1338002.332,2019-09-30,Industry
499,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",453403.604,2019-09-30,Electricity
500,DT_NSO_0500_022V1,105,Барилга,Construction,551707.164,2019-09-30,Construction
501,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,2191488.621,2019-09-30,Trade
502,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,942941.265,2019-09-30,Transportation
503,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,444097.531,2019-09-30,Information
504,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,5761702.913,2019-09-30,Service
505,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,2621750.683,2019-09-30,Taxes
539,DT_NSO_0500_022V1,1,ДНБ,GDP,12973039.54,2019-06-30,GDP
540,DT_NSO_0500_022V1,101,Хөдөө аж ахуй ойн аж ахуй загас барилт ан агнуур,"Agriculture, forestry and fishing, hunting",1830496.098,2019-06-30,Agriculture
541,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,1907358.08,2019-06-30,Mining
542,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,790574.173,2019-06-30,Industry
543,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",333660.876,2019-06-30,Electricity
544,DT_NSO_0500_022V1,105,Барилга,Construction,328662.278,2019-06-30,Construction
545,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,1370562.67,2019-06-30,Trade
546,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,531782.304,2019-06-30,Transportation
547,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,286347.31,2019-06-30,Information
548,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,3883192.284,2019-06-30,Service
549,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,1710403.468,2019-06-30,Taxes
583,DT_NSO_0500_022V1,1,ДНБ,GDP,5252559.374,2019-03-31,GDP
584,DT_NSO_0500_022V1,101,Хөдөө аж ахуй ойн аж ахуй загас барилт ан агнуур,"Agriculture, forestry and fishing, hunting",203926.602,2019-03-31,Agriculture
585,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,955834.001,2019-03-31,Mining
586,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,317701.28,2019-03-31,Industry
587,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",197308.743,2019-03-31,Electricity
588,DT_NSO_0500_022V1,105,Барилга,Construction,62439.549,2019-03-31,Construction
589,DT_NSO_0500_022V1,106,"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",Wholesale and retail trade; repair of motor vehicles and motorcycles,581267.412,2019-03-31,Trade
590,DT_NSO_0500_022V1,107,Тээвэр ба агуулахын үйл ажиллагаа,Transportation and storage,267255.606,2019-03-31,Transportation
591,DT_NSO_0500_022V1,108,"Мэдээлэл, холбоо",Information and communication,129255.794,2019-03-31,Information
592,DT_NSO_0500_022V1,109,Үйлчилгээний бусад үйл ажиллагаа,Service,1893362.59,2019-03-31,Service
593,DT_NSO_0500_022V1,110,Бүтээгдэхүүний цэвэр татвар,Taxes less subsidies on products,644207.798,2019-03-31,Taxes
627,DT_NSO_0500_022V1,1,ДНБ,GDP,26446671.274,2018-12-31,GDP
628,DT_NSO_0500_022V1,101,Хөдөө аж ахуй ойн аж ахуй загас барилт ан агнуур,"Agriculture, forestry and fishing, hunting",3608039.111,2018-12-31,Agriculture
629,DT_NSO_0500_022V1,102,"Уул уурхай, олборлолт",Mining and quarrying,4134825.454,2018-12-31,Mining
630,DT_NSO_0500_022V1,103,Боловсруулах үйлдвэрлэл,Processing industries,2073929.212,2018-12-31,Industry
631,DT_NSO_0500_022V1,104,"Цахилгаан, хий, уур, агааржуулалт","Electricity, gas, steam, air conditioning supply",622177.35,2018-12-31,Electricity
632,DT_NSO_0500_022V1,105,Барилга,Construction,918584.703,2018-12-31,Construction
